LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	Multi
Time_Pref	Relative
Operator	TG lab
Date	2015/03/06
Time	16:27:13.1953577995300292969
***End_of_Header***	
	
Channels	1	
Samples	2000	
Date	1903/12/31	
Time	19:00:00	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	5.000000E-11	
***End_of_Header***		
X_Value	Untitled	Comment
4.070000E-8	0.002903
4.075000E-8	0.003078
4.080000E-8	0.002972
4.085000E-8	0.002828
4.090000E-8	0.002584
4.095000E-8	0.002309
4.100000E-8	0.002041
4.105000E-8	0.001803
4.110000E-8	0.001500
4.115000E-8	0.001313
4.120000E-8	0.001338
4.125000E-8	0.001372
4.130000E-8	0.001572
4.135000E-8	0.001753
4.140000E-8	0.001941
4.145000E-8	0.002309
4.150000E-8	0.002566
4.155000E-8	0.002900
4.160000E-8	0.003081
4.165000E-8	0.003162
4.170000E-8	0.003228
4.175000E-8	0.003147
4.180000E-8	0.003019
4.185000E-8	0.002781
4.190000E-8	0.002569
4.195000E-8	0.002394
4.200000E-8	0.002012
4.205000E-8	0.001666
4.210000E-8	0.001366
4.215000E-8	0.001272
4.220000E-8	0.001141
4.225000E-8	0.001075
4.230000E-8	0.001069
4.235000E-8	0.001284
4.240000E-8	0.001612
4.245000E-8	0.001875
4.250000E-8	0.002159
4.255000E-8	0.002491
4.260000E-8	0.002681
4.265000E-8	0.002981
4.270000E-8	0.003113
4.275000E-8	0.003081
4.280000E-8	0.003069
4.285000E-8	0.002897
4.290000E-8	0.002503
4.295000E-8	0.002084
4.300000E-8	0.001816
4.305000E-8	0.001578
4.310000E-8	0.001322
4.315000E-8	0.001106
4.320000E-8	0.001056
4.325000E-8	0.001169
4.330000E-8	0.001316
4.335000E-8	0.001631
4.340000E-8	0.001950
4.345000E-8	0.002231
4.350000E-8	0.002591
4.355000E-8	0.002759
4.360000E-8	0.003009
4.365000E-8	0.003056
4.370000E-8	0.003075
4.375000E-8	0.003091
4.380000E-8	0.002828
4.385000E-8	0.002437
4.390000E-8	0.002147
4.395000E-8	0.001803
